ticker,date,close,change,change_pct,volume,ma5,ma25,ma75,ma200,ma25_div_pct,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,atr14,trend_status,week52_high,week52_high_confidence
1605.T,2026-08-25,3878.0,-11.0,-0.28,3368200,3890.0,3681.68,3568.49,3549.6,5.33,62.52,106.29,84.2,22.1,4017.36,3686.85,3356.34,104.84,Bullish (上昇基調),4955.0,full
1605.T,2026-08-26,3837.0,-41.0,-1.06,4554200,3885.4,3691.96,3569.2,3555.3,3.93,59.32,101.45,87.65,13.81,4032.2,3700.4,3368.6,102.42,Bullish (上昇基調),4955.0,full
1605.T,2026-08-27,3856.0,19.0,0.5,3207400,3882.8,3701.6,3568.91,3560.77,4.17,60.33,98.02,89.72,8.3,4048.46,3712.4,3376.34,100.11,Bullish (上昇基調),4955.0,full
3861.T,2026-08-25,869.2,-6.8,-0.78,2652300,865.56,871.56,825.36,843.54,-0.27,53.59,6.19,8.88,-2.69,895.23,873.25,851.26,16.2,Range (保ち合い),990.7,full
3861.T,2026-08-26,880.0,10.8,1.24,2888200,870.66,872.61,826.14,844.11,0.85,57.82,6.67,8.44,-1.77,894.86,873.1,851.33,16.2,Bullish (上昇基調),990.7,full
3861.T,2026-08-27,876.6,-3.4,-0.39,3043800,873.7,873.36,826.76,844.65,0.37,56.09,6.7,8.09,-1.39,891.14,872.1,853.06,15.6,Bullish (上昇基調),990.7,full
4502.T,2026-08-25,5813.0,16.0,0.28,3025100,5793.6,5611.04,5302.23,5160.72,3.6,62.33,100.59,81.76,18.83,5956.22,5612.35,5268.48,119.33,Bullish (上昇基調),6033.0,full
4502.T,2026-08-26,5860.0,47.0,0.81,3073000,5811.8,5623.24,5311.53,5169.22,4.21,64.14,106.6,86.73,19.88,5974.4,5618.15,5261.9,117.45,Bullish (上昇基調),6033.0,full
4502.T,2026-08-27,5809.0,-51.0,-0.87,2556600,5808.6,5633.52,5320.08,5177.34,3.11,60.72,106.04,90.59,15.45,5967.97,5616.25,5264.53,115.13,Bullish (上昇基調),6033.0,full
8058.T,2026-08-25,4765.0,-28.0,-0.58,4571700,4739.2,4786.08,4819.49,4566.62,-0.44,51.59,18.59,25.61,-7.02,4892.03,4770.95,4649.87,116.66,Bearish (下降基調),6012.0,full
8058.T,2026-08-26,4718.0,-47.0,-0.99,4950800,4753.2,4788.24,4812.37,4572.09,-1.47,48.57,13.83,23.26,-9.43,4891.27,4768.05,4644.83,113.11,Bearish (下降基調),6012.0,full
8058.T,2026-08-27,4737.0,19.0,0.4,4916400,4761.4,4782.2,4802.2,4577.55,-0.95,49.85,11.45,20.89,-9.44,4885.56,4763.95,4642.34,109.32,Bearish (下降基調),6012.0,full
8306.T,2026-08-25,3529.0,48.0,1.38,20278700,3495.4,3598.48,3337.77,2898.78,-1.93,49.12,6.44,29.48,-23.04,3717.8,3570.55,3423.3,94.09,Range (保ち合い),3813.0,full
8306.T,2026-08-26,3579.0,50.0,1.42,26473400,3512.2,3598.44,3347.41,2905.48,-0.54,52.4,8.22,25.23,-17.01,3707.85,3566.45,3425.05,91.58,Range (保ち合い),3813.0,full
8306.T,2026-08-27,3608.0,29.0,0.81,28822400,3541.0,3596.04,3357.03,2912.13,0.33,54.25,11.84,22.55,-10.71,3702.43,3564.5,3426.57,89.25,Bullish (上昇基調),3813.0,full
8411.T,2026-08-25,8208.0,100.0,1.23,5876700,8123.8,8345.92,7883.07,6820.76,-1.65,48.37,2.49,55.15,-52.66,8756.23,8288.4,7820.57,249.47,Range (保ち合い),8819.0,full
8411.T,2026-08-26,8314.0,106.0,1.29,6048700,8165.0,8346.4,7902.05,6837.61,-0.39,51.15,5.37,45.19,-39.83,8760.14,8293.6,7827.06,241.01,Range (保ち合い),8819.0,full
8411.T,2026-08-27,8340.0,26.0,0.31,5720600,8216.0,8338.84,7920.32,6854.05,0.01,51.84,9.64,38.08,-28.45,8764.32,8305.0,7845.68,235.44,Bullish (上昇基調),8819.0,full
8593.T,2026-08-25,1394.0,1.0,0.07,2693600,1388.7,1425.18,1366.79,1355.1,-2.19,47.71,-3.89,1.77,-5.66,1497.85,1420.2,1342.55,24.56,Range (保ち合い),1541.5,full
8593.T,2026-08-26,1407.5,13.5,0.97,2788300,1395.6,1423.88,1366.7,1356.32,-1.15,51.16,-2.94,0.83,-3.77,1491.98,1417.22,1342.47,23.92,Range (保ち合い),1541.5,full
8593.T,2026-08-27,1392.5,-15.0,-1.07,2742400,1396.4,1422.1,1366.07,1357.4,-2.08,47.41,-3.35,-0.01,-3.34,1470.29,1410.95,1351.61,23.46,Range (保ち合い),1541.5,full
8766.T,2026-08-25,7408.0,147.0,2.02,4218200,7298.0,7768.16,7505.33,6652.79,-4.64,43.48,-116.99,-56.8,-60.2,8383.3,7702.1,7020.9,183.5,Range (保ち合い),8468.0,full
8766.T,2026-08-26,7629.0,221.0,2.98,8363400,7375.6,7758.36,7511.72,6662.51,-1.67,51.16,-95.81,-64.6,-31.21,8308.13,7671.85,7035.57,186.54,Range (保ち合い),8468.0,full
8766.T,2026-08-27,7629.0,0.0,0.0,4692000,7454.8,7744.68,7518.24,6672.14,-1.49,51.16,-78.12,-67.3,-10.82,8177.13,7633.65,7090.17,179.35,Range (保ち合い),8468.0,full
9432.T,2026-08-25,169.2,2.7,1.62,185852600,164.52,157.6,151.47,152.26,7.36,72.07,3.9,3.07,0.83,169.0,159.05,149.1,3.0,Bullish (上昇基調),169.4,full
9432.T,2026-08-26,169.6,0.4,0.24,171766700,166.56,158.32,151.76,152.33,7.12,72.5,4.2,3.3,0.9,170.57,159.71,148.85,2.91,Bullish (上昇基調),170.0,full
9432.T,2026-08-27,168.2,-1.4,-0.83,165343300,167.92,158.96,152.01,152.39,5.81,68.46,4.28,3.49,0.78,171.58,160.1,148.63,2.86,Bullish (上昇基調),170.0,full
9434.T,2026-08-25,239.3,4.3,1.83,77606500,234.72,229.55,219.81,215.79,4.25,66.97,4.19,4.04,0.15,240.18,231.29,222.4,4.76,Bullish (上昇基調),247.9,full
9434.T,2026-08-26,239.5,0.2,0.08,66297600,236.14,230.24,220.05,215.92,4.02,67.18,4.38,4.1,0.27,241.3,231.72,222.15,4.62,Bullish (上昇基調),247.9,full
9434.T,2026-08-27,237.5,-2.0,-0.84,63865300,237.02,230.89,220.29,216.04,2.86,62.83,4.31,4.15,0.17,241.55,231.8,222.06,4.53,Bullish (上昇基調),247.9,full
9984.T,2026-08-25,5087.0,112.0,2.25,28458400,5186.2,5428.48,6184.56,5092.96,-6.29,42.19,-164.11,-139.9,-24.22,6083.84,5375.45,4667.06,369.63,Bearish (下降基調),9074.0,full
9984.T,2026-08-26,5163.0,76.0,1.49,32658800,5173.4,5404.96,6176.83,5084.68,-4.48,43.66,-168.3,-145.58,-22.73,6082.46,5378.85,4675.24,356.94,Bearish (下降基調),9074.0,full
9984.T,2026-08-27,5200.0,37.0,0.72,32881000,5136.0,5384.84,6166.33,5077.85,-3.43,44.4,-166.71,-149.8,-16.91,6048.32,5401.8,4755.28,350.09,Bearish (下降基調),9074.0,full
